nama_data,value,tahun
Mesin/peralatan mekanis,25847,2021
Besi & baja,11957.1,2021
Produk farmasi,4359.8,2021
Serealia,4074,2021
Bahan bakar mineral,3311,2021
Pupuk,2204.3,2021
Bijih logam,1757.3,2021
Perabotan/alat penerangan,1351.7,2021
Kapal/struktur terapung,803.4,2021
Kendaraan udara,522.7,2021
Mesin & Alat Angkutan,5547.5,2022
Barang Buatan Pabrik,3550.2,2022
Bahan Kimia & Produknya,3093.7,2022
Minyak & Bahan Bakar Mine,2380.8,2022
Bahan Makanan & Binatang ,1509.3,2022
Lainnya,1126.4,2022
Bahan Baku & Hasil Tamban,911.7,2022
Minuman & Tembakau,74,2022
Minyak Nabati & Hewani,17.5,2022
