Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.46362098,88.70445344,86.25091174,83.62965448,84.63035019,70.68297047,69.39617084,68.65034169,70.07379065,67.76511397,76.98863636,76.45329111,74.90089714,73.59009629,74.64449792,75.25045537,84.68869123,83.55052339,85.33688306,84.60768615,72.9826546,70.41752481,71.25564589,74.63363573,74.64978903,72.7232043,
Africa Eastern and Southern,AFE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.66955948,19.48231212,21.19380986,21.38583923,24.13778463,25.99222112,26.60235003,26.29492814,27.20171573,25.67080016,25.8687047,27.02323412,28.24776711,26.73282635,27.39335579,28.48483009,29.69461099,31.95986768,36.37890649,32.02538494,30.61720771,31.7847633,32.92108092,33.60139719,31.6315652,29.35849979,26.49330511,24.65281536,28.49264965,26.606198,24.25002528,25.99064537
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,7.024793366,8.097166298,9.349593306,16.86391033,18.05555539,21.41280348,18.57142854,14.20982704,15.21035643,14.98422725,11.94410778,16.1407952,18.10584979,14.74359071,14.84536122,14.27230078,14.86956541,14.8231755,13.87205375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,22.66334383,23.61661005,20.63811075,20.41110456,21.2152557,22.12318905,20.57749258,22.6365733,22.75688395,22.47391916,19.09783949,22.02556783,20.91049437,23.37203989,23.8873583,29.76059962,30.00634641,29.72811056,30.38632539,27.3700475,27.30789483,16.21994678,14.10354203,13.51649453,13.98061339,15.56664232,17.98914333,19.4393783,18.61640846,20.76635938,20.29737335,21.51227748,22.43141505,22.29964413,23.58482993,25.85426609,25.88270793,29.12998799,28.64066271,24.25851846,23.72976432,28.27791647,25.38042807,28.30178409,22.0231753,21.75171942,21.41013274,25.72253436,23.92822137,25.31430701,25.94028026,28.23439745,23.03037231,21.88272002,21.02411752,20.22588837,21.27795578,22.41609272,24.69303696,25.98714246,,
Angola,AGO,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.86127827,74.94685096,48.2167467,49.57989074,45.19958873,41.06469436,31.15729583,40.15428452,48.88967965,63.68884384,42.58051942,39.31255882,35.85996671,36.06484697,34.63789332,33.13391814,25.24567262,23.25272022,25.5417235,17.03878307,18.94766828,15.04979146
Albania,ALB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,23.53660059,22.28995962,24.7376437,21.55859246,20.07535159,19.1144514,16.03112475,16.12964208,19.9184766,21.472733,24.03189957,28.58570134,96.28588075,64.53950296,41.11889039,34.96976538,33.27511148,35.22842897,36.67036856,34.16926739,43.33878759,45.1576132,47.57945205,46.17317459,44.82962655,47.85935563,49.05748251,54.95421469,52.14933338,49.85416579,48.563955,51.97703179,47.57271286,46.95739871,47.19484414,44.53361519,45.83196365,46.62446595,45.23619092,44.97492449,37.24776794,43.90210968
Andorra,AND,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.35720384,34.19474411,32.95005147,32.43260275,33.6954282,31.8356677,30.13970869,31.21469807,32.16942293,32.80712295,36.04630369,35.97615,35.53052539,39.84703969,40.63515149,41.53502276,37.09010298,35.74677024,36.48517953,37.64283713,38.81932068,41.182553,38.53954072,39.28444655,38.00926371,38.84201868,36.80745856,
United Arab Emirates,ARE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7053546,43.56831143,46.37697028,53.05488271,51.96756025,50.84287191,64.41405537,69.64565532,73.8086265,61.63508943,61.58937762,64.00284354,64.72816949,68.93145912,74.35085088,75.74461474,75.40941203,66.68065074,70.85061919,68.79569543,
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,7.604046978,5.994945316,9.38368289,7.890452032,5.563714074,4.150582972,4.989688034,4.997064147,5.403711423,6.398713317,4.735877405,6.607956034,6.837877358,5.70950079,6.28900906,5.978672496,5.921496328,7.326394155,5.715406434,6.329769174,6.48369978,7.371927999,6.520993021,5.83614942,4.756486117,6.27332705,6.324055248,7.57576407,6.211845636,6.579388793,4.631322407,6.078010811,8.132793114,9.313799914,10.60439714,10.09101283,11.07787165,12.77532874,12.93444601,11.55557045,11.63606955,10.27324737,13.37012736,14.7138051,16.84502668,17.30539424,17.40678527,18.28242031,18.341773,14.49614185,16.03718986,16.75694585,14.28868291,14.71675561,14.00131506,11.78057404,13.56679268,13.96931778,16.32585021,14.51850312,13.55632492,15.12830571
