Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3963621,14.98744939,17.13384391,17.51090238,15.54831388,15.82761706,16.10818851,15.12240888,16.60453676,17.39278989,18.27660985,19.21415969,18.53659503,17.41133818,15.82861518,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,28.75801788,30.29903102,29.25632777,27.19603046,27.86507987,28.50101096,28.41537475,28.14293559,28.02800091,26.83834124,29.20520528,28.09506815,28.25971792,27.77145815,27.84424224,26.909554,26.02871647,25.87976226,26.8944809,26.84499949,27.45528929,26.7043499,27.04847836,28.00714522,28.03176972,29.19549645,30.65437955,26.47833725,27.26189202,28.30488407,28.01408612,27.58020436,26.97737981,24.80526677,24.46339742,24.53105947,26.53360079,26.40396665,25.71451411,25.84070763
Afghanistan,AFG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.81012701,22.71086418,26.22678975,26.81209923,28.21076807,26.88224161,26.915628,21.89712221,21.1514207,22.74025248,21.15780715,20.44460531,21.22966322,22.12404249,10.46680769,10.051874,13.38724696,14.05811237,14.0316991,
Africa Western and Central,AFW,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,39.30406414,35.48901474,34.5009164,31.72515388,34.15806226,31.34505928,30.72023993,29.65253749,31.3504691,32.58368729,32.47547622,32.21687391,29.71571736,30.70159287,32.74980642,32.30242523,31.59736171,27.23610643,28.18613426,32.10985651,28.10756032,25.30910972,27.27757069,29.3500955,28.92291915,27.51574026,26.36217331,27.41471175,24.10563952,26.78768042,29.70780876,29.10549485,28.25340319,26.90488757,22.61153084,21.03425683,24.12865426,26.43711772,27.14354112,27.3585513,29.16341245
Angola,AGO,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.28517579,67.82067594,60.75774139,55.1572893,72.71737231,72.12295494,64.88381154,56.07579654,53.11699779,54.62993328,60.40199346,58.10933117,61.88353785,60.2548204,44.05637413,52.36843758,56.02651389,56.91821896,53.36285218,46.20332557,41.93309219,42.64356787,42.16795377,47.93154185,49.76092074,45.72902227,43.38509718
Albania,ALB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.37384069,18.10976567,15.34683823,16.53674306,19.39568914,21.73577378,23.1063696,24.05560851,24.66556227,25.08160659,25.30802592,25.34033192,25.16101033,24.41377839,24.93746193,24.48447822,22.91855334,23.06131685,21.50884574,21.763681,21.14196535,20.358367,21.27930613,20.61962882,20.00860897,21.81859156
Andorra,AND,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.69981763,12.66015827,
Arab World,ARB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,56.59953605,58.49257249,56.79684723,52.8066169,58.46355487,64.08188761,61.39055728,52.74001529,45.49146105,43.01189998,40.06189658,34.33284409,35.22243794,35.9004753,37.73044985,55.59480324,38.88358078,41.6482891,39.09822186,38.71127893,40.60571488,42.46466264,43.44736331,39.07775425,42.96532414,49.10789266,46.32668563,46.14322712,46.74565114,48.78247518,52.58279385,53.93402824,52.55430018,55.02406203,46.08793519,48.53212384,53.28816816,54.27228173,52.14255582,49.45159981,40.07921508,37.73764306,40.06267924,44.77174103,42.58455365,37.0906897,43.14499358
United Arab Emirates,ARE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,73.99550701,71.81472265,67.98170619,68.05879988,71.35555238,72.66360633,68.36330707,63.15205198,61.40417868,62.81071431,61.25214684,52.15437335,54.68110115,53.01423765,55.07692921,58.90235057,46.77830149,55.29802322,51.47992165,46.26037509,45.54517392,46.36700237,45.4284115,40.02353246,42.02066257,48.51701163,49.67634129,47.54574758,49.12101292,51.67834808,55.6434763,57.90311172,54.84022859,58.01797844,52.044956,52.53086183,58.0355996,57.4491471,55.00615059,52.764598,43.89387107,41.44865791,42.57462498,47.0329279,44.45966428,40.86677045,
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,48.41447642,49.60581466,47.38341438,47.03606529,47.3861283,42.27878963,45.95472845,45.58164895,43.35223993,43.59280262,50.14132368,50.89369683,47.80613219,46.09764801,44.0281238,41.21966567,40.33822671,41.10284864,41.55630651,39.70818793,39.27615457,37.38043489,37.82867527,38.48661108,42.34781307,36.02188135,32.72252826,30.6839549,27.33873965,26.75455869,26.30121034,26.59256064,27.17915089,26.71213576,26.1936305,25.99083601,25.24343398,30.55773709,32.6450991,28.81692201,28.62631404,29.20327967,27.41523613,26.27245994,25.2842048,25.25877626,25.21269761,24.42905706,24.00588144,24.27739449,23.15305614,22.05410721,21.78212322,23.71959233,24.05238822,23.31121838,24.86299968
Armenia,ARM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.82709461,26.70904814,25.27053295,25.70869944,25.57713304,25.80953238,24.75655785,24.97160846,27.05522612,26.93069416
American Samoa,ASM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,11.53110189,10.37716942,11.58806231,13.06451254,13.31378154,10.41335824,10.22115171,10.91623254,11.72984946,12.9576021,13.80335868,14.23632716,15.25180155,13.90973504,14.56470425,13.48233758,12.70753026,12.52560542,12.69552051,12.24730724,12.51312804,12.65863364,13.5116061,13.89073144,12.88252441,13.04602902,13.27137402,13.05335304,14.51846488,18.45224574,17.74097533,19.12391632,19.46093611,16.20414704,14.53076878,14.28549382,15.68226063,16.18863876,16.45797948,17.93837237,19.22069665,21.1069983,21.16303875,21.10326075,21.88900414
Australia,AUS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.78445951,27.65531641,26.86911361,26.82286625,26.77993562,26.4297924,25.97628614,25.21532313,25.37913396,24.63264425,24.5903869,23.67051962,23.63710479,24.05864101,23.9529995,24.64046187,25.64400723,25.69783659,25.62734552,27.06526465,25.20059746,26.53195082,26.39118178,25.19828124,25.57982125,23.69537588,22.32751257,23.46715822,24.13993682,25.32796774,25.46209587,25.4955709
