golongan_sitc,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
0. Bahan makanan dan binatang hidup,19584.2,15443.7,15494.9,16425.5,14687.3,13746.2,12244.9,14587.4,13871.7,13342.3,14335.4,9675.4
1. Minuman dan tembakau,857.2,762.2,822.2,946.6,817.5,653.3,563.3,789.2,821.6,848.1,656.8,535
"2. Bahan-bahan mentah, tidak untuk dimakan",11289.2,7298,9059.2,9945,8712.3,7078.8,7354.1,9176.8,9231.1,9029.8,9993.9,7288.3
"3. Bahan bakar pelikan, bahan penyemir dan bahan-bahan yang berkenaan dengan itu",28838.2,15778.4,23477.5,31579.3,25494,19241.1,25028,43928.7,45510.1,42732.8,40821,27505.8
4. Lemak serta minyak hewan dan nabati,300.4,191.8,217.9,173.4,160.2,144.5,131.6,144.4,205.8,157.3,186.6,160.1
5. Bahan-bahan kimia,32624.4,21491.4,24144,26684.2,22539.3,19999.4,21203.4,23779.3,23593.6,23666.1,22237.8,16698.8
6. Barang-barang buatan pabrik dirinci menurut bahan,32673.4,22768,29998.6,30969.5,25764.7,22623.8,23635.9,26854.6,28462.1,29772.8,25864.7,20461.1
7. Mesin dan alat pengangkutan,56996.3,46743.1,55882.7,59886.9,49260.7,43896,45444.2,52145.8,57823.6,65637.4,57787.7,48524.3
8. Berbagai jenis barang buatan pabrik,10344.1,9189.4,10407.9,9968.7,8519.7,7437,6383.9,6746.9,7075.6,6460.3,5481.4,4730
9. Barang-barang transaksi tidak dirinci,2682.7,1902.7,1770.8,2132.2,1029.8,832.7,705.5,25.7,33.5,42.6,70.3,84.5
