golongan_sitc,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
0. Bahan makanan dan binatang hidup,30264.6,28206.3,27313.2,29275.6,27034.2,26918.5,23491.9,23375.8,22055.5,21225.7,22566.4,16655.3
1. Minuman dan tembakau,288.3,244.8,281.4,299.2,268.3,225.3,217.6,253,258.7,247.2,185.4,160.3
"2. Bahan-bahan mentah, tidak untuk dimakan",35211.7,28998.2,31736.7,32001.4,28662.1,24205.3,23184.3,23510,20500.8,19009.2,20128.5,18247.9
"3. Bahan bakar pelikan, bahan penyemir dan bahan-bahan yang berkenaan dengan itu",57678.1,47378.9,48731,55764,55606.2,52602.9,51485.6,51543.3,49868.8,44547.5,43923.1,40698
4. Lemak serta minyak hewan dan nabati,174.5,147,233.1,117.9,104.3,95,90.9,87.3,157.3,86.3,103.5,122.7
5. Bahan-bahan kimia,25145.6,21413.9,22849.2,24727,22313.1,20845.2,21171.5,20541.5,18286.7,20392.1,18250.9,14835
6. Barang-barang buatan pabrik dirinci menurut bahan,21314.1,18325.9,23548.5,21674.6,19923.3,20477.3,21598.5,22029.1,23239.6,22527.3,16212.1,14237.3
7. Mesin dan alat pengangkutan,6495.7,5738.6,6355.1,6468.4,5586.2,5463.3,4909.5,5415.8,5723.2,7253.1,6008.4,5047.3
8. Berbagai jenis barang buatan pabrik,1714.6,1426.2,1580.5,1391.1,1251.5,1192.5,943.5,978.5,1018,995.2,843.1,691.6
9. Barang-barang transaksi tidak dirinci,0.2,0.1,0.1,0.2,0.1,0,0,0,1,0,0.2,5.6
