lapangan_usaha,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
"A. Pertanian, Kehutanan, dan Perikanan",2253836.8,2115389.1,2012742.8,1900621.7,1787963.2,1671597.8,1555207,1409655.7,1275048.4,1152262.1,1058245.3,956119.7
B. Pertambangan dan Penggalian,1523650.1,993541.9,1149913.5,1198987.1,1029554.6,890868.3,881694.1,1039423,1050745.8,1000307.6,924813.4,718128.6
C. Industri Pengolahan,3266903.5,3068041.7,3119593.8,2947450.8,2739711.9,2545203.6,2418891.7,2227584,2007426.8,1848150.9,1704250.5,1512760.8
D. Pengadaan Listrik dan Gas,190047.2,179741.6,185115.3,176640.3,162339.8,142344.4,129833.7,114905.1,98686.8,95637.8,91721.9,72549.1
"E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",12024.9,11304.7,10736.1,10023.6,9438.6,8909.4,8546.3,7840.6,7209,6603.8,6208.8,5848.5
F. Konstruksi,1771726.7,1652659.6,1701741.2,1562297,1410513.6,1287600.8,1177084.1,1041949.5,905990.5,805208.1,712184.4,626905.4
G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,2200528.9,1994125.3,2060268.9,1931813,1768865.2,1635410.4,1532876.7,1419239.4,1261145.6,1138484.4,1066092.1,923923.8
H. Transportasi dan Pergudangan,719632.6,689577.8,881505.4,797777,735229.6,644993.9,578464.3,466968.9,375305.9,313156.2,276122.4,245375.4
I. Penyediaan Akomodasi dan Makan Minum,412260.6,394055,440207.7,412709.7,387013.1,363055.5,341555.8,321062.1,289498.3,252612.3,224215.3,200281.8
J. Informasi dan Komunikasi,748754.7,695964,626532.6,558938,513715.9,449188.7,406016.5,369457.3,341009.4,311362.4,281777.6,256048.1
K. Jasa Keuangan dan Asuransi,736188.8,696067.2,671433.8,616315.1,571203.6,520206.8,464399.9,408438.8,370131.9,320534.3,270586.3,239728.4
L. Real Estate,468221.7,453780.9,439455.9,406013.7,382259.2,350488.2,327601.4,294573.4,264275,237913.9,218796.6,198213.5
"M,N. Jasa Perusahaan",301085.2,294255.5,304285.5,267094,238217,211623.6,190267.9,165990.6,144604.1,127724.2,113975.3,99085.4
"O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",584361,582628.3,571584.1,541685.6,499343.6,476490.9,449382.4,404629.6,372195,340567.6,304755.7,259646.1
P. Jasa Pendidikan,556317.8,549625.9,522354.2,481747,447137.6,417344.8,387611.4,341818.4,307862.3,270372.3,232726.8,201559.5
Q. Jasa Kesehatan dan Kegiatan Sosial,226970.8,201191.5,174689,158070.1,144830.7,132100.5,123191.5,109147.2,96881.3,86235.4,76404.9,66444.7
"R,S,T,U. Jasa lainnya",312179.5,302578.4,309002,268574.7,239258.6,211427.9,190581,163548.8,140315.5,122566.2,113022,101061
